code,status,message,message_before_of,message_after_of
200,OK,耐えてます。,,は耐えてます。
201,Created,,,
203,Accepted,,,
204,Non-Authoritative Information,,,
205,Reset Content,,,
206,Partial Content,,,
207,Multi-Status,,,
208,Already Reported,さっき言いました。,,
226,IM Used,,,
300,Multiple Choices,,,
301,Moved Permanently,,,
302,Found,,,
303,See Other,,,
304,Not Modified,,,
305,Use Proxy,,,
306,Unused,,,
307,Temporary Redirect,,,
308,Permanent Redirect,,,
400,Bad Request,,,
401,Unauthorized,,,
402,Payment Required,お金を下さい。,,のお金を下さい。
403,Forbidden,,,
404,Not Found,お探しの進捗は見つかりませんでした。,,の進捗は見つかりませんでした。
405,Method Not Allowed,,,
406,Not Acceptable,そんなことは許されません。,,は許されません。
407,Proxy Authentication Required,,,
408,Request Timeout,,,
409,Conflict,,,
410,Gone,,,
411,Length Required,,,
412,Precondition Failed,,,
413,Payload Too Large,タスクがデカすぎます。,,のタスクがデカすぎます。
414,URI Too Long,,,
415,Unsupported Media Type,,,
416,Range Not Satisfiable,,,
417,Expectation Failed,,,
418,I'm a teapot,,,
421,Misdirected Request,私のタスクじゃないです。,私の,のタスクじゃないです。
422,Unprocessable Content,,,
423,Locked,,,
424,Failed Dependency,,,
425,Too Early,もう少し待って下さい。,,はもう少し待ってください。
426,Upgrade Required,,,
428,Precondition Required,,,
429,Too Many Requests,タスクが多すぎます。,,のタスクgtが多すぎます。
431,Request Header Fields Too Large,,,
451,Unavailable For Legal Reasons,,,
500,Internal Server Error,,,
501,Not Implemented,,,
502,Bad Gateway,,,
503,Service Unavailable,営業終了しました。,,は営業終了しました。
504,Gateway Timeout,,,
505,HTTP Version Not Supported,,,
506,Variant Also Negotiates,,,
507,Insufficient Storage,,,
508,Loop Detected,,,
510,Not Extended,,,
511,Network Authentication Required,,,